sample,time_s,aeroMode,airDensity,windX,windY,windZ,turbX,turbY,turbZ,dragMult,liftMult,downforceMult,geMult,relAirX,relAirY,relAirZ,relAirLocalX,relAirLocalY,relAirLocalZ,airSpeed_ms,dynPressure_pa,bodyDragN,bodyLiftN,surfDragN,surfLiftN,geForceN,totalForceN,totalTorqueNm,copX,copY,copZ,aoa_deg,sideSlip_deg,aeroAccelG,forceClamped,torqueClamped,rejectedValues
0,0.0014,1,1.2250,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,1.000,1.000,-0.29,-0.04,-0.14,-0.29,0.00,-0.14,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9383.819,3.506,12092.750,0.00,0.00,0.000,0,0,0
2,0.0214,1,1.2250,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,1.000,1.000,-0.29,-0.04,-0.14,-0.29,0.00,-0.14,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9383.813,3.505,12092.740,0.00,0.00,0.000,0,0,0
4,0.0414,1,1.2250,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,1.000,1.000,-0.29,-0.04,-0.14,-0.29,0.00,-0.14,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9383.808,3.504,12092.740,0.00,0.00,0.000,0,0,0
6,0.0614,1,1.2250,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,1.000,1.000,-0.29,-0.04,-0.14,-0.29,0.00,-0.14,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9383.802,3.504,12092.740,0.00,0.00,0.000,0,0,0
8,0.0814,1,1.2250,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,1.000,1.000,-0.29,-0.03,-0.14,-0.29,0.00,-0.14,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9383.796,3.503,12092.740,0.00,0.00,0.000,0,0,0
10,0.1014,1,1.2250,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,1.000,1.000,-0.29,-0.04,-0.14,-0.29,0.00,-0.14,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9383.790,3.502,12092.740,0.00,0.00,0.000,0,0,0
12,0.1214,1,1.2250,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,1.000,1.000,-0.29,-0.04,-0.14,-0.29,0.00,-0.14,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9383.784,3.502,12092.730,0.00,0.00,0.000,0,0,0
14,0.1414,1,1.2250,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,1.000,1.000,-0.29,-0.04,-0.14,-0.29,0.00,-0.14,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9383.778,3.501,12092.730,0.00,0.00,0.000,0,0,0
16,0.1614,1,1.2250,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,1.000,1.000,-0.29,-0.04,-0.14,-0.29,0.00,-0.14,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9383.772,3.500,12092.730,0.00,0.00,0.000,0,0,0
18,0.1814,1,1.2250,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,1.000,1.000,-0.29,-0.04,-0.14,-0.29,0.00,-0.14,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9383.766,3.499,12092.730,0.00,0.00,0.000,0,0,0
