id,start_s,end_s,duration_s,other,layer,region,contacts,relSpeed_ms,normalSpeed_ms,tangentialSpeed_ms,maxImpulse,section,grounded,scrape
1,11.051,11.371,0.320,"TrackCollider_03_02",TrackSurface,bottom,61,335.54,8.15,335.44,40110.4,1,1,1
2,11.371,11.711,0.340,"TrackCollider_03_02",TrackSurface,bottom,36,321.30,5.55,321.27,14867.6,1,1,1
3,11.711,11.761,0.050,"TrackCollider_03_02",TrackSurface,bottom,6,320.89,5.58,321.00,7248.5,1,1,0
4,11.761,11.821,0.060,"TrackCollider_03_02",TrackSurface,bottom,8,321.11,6.10,321.38,9815.3,1,1,0
5,11.821,11.881,0.060,"TrackCollider_03_02",TrackSurface,bottom,8,321.28,5.76,321.35,7024.8,1,1,0
6,11.881,11.941,0.060,"TrackCollider_03_02",TrackSurface,bottom,8,321.31,5.73,321.29,7927.7,1,1,0
7,11.941,12.001,0.060,"TrackCollider_03_02",TrackSurface,bottom,7,321.09,3.58,321.08,8303.6,1,1,0
8,12.001,12.061,0.060,"TrackCollider_03_02",TrackSurface,bottom,9,320.91,5.42,320.89,9675.4,1,1,0
9,12.061,12.121,0.060,"TrackCollider_03_02",TrackSurface,bottom,9,320.41,5.74,320.39,9721.7,1,1,0
10,12.121,12.171,0.050,"TrackCollider_03_02",TrackSurface,bottom,6,319.96,4.09,319.96,9150.4,1,1,0
11,12.171,12.221,0.050,"TrackCollider_03_02",TrackSurface,bottom,7,319.62,6.46,319.61,13863.1,1,1,0
12,12.221,12.271,0.050,"TrackCollider_03_02",TrackSurface,bottom,6,318.70,6.42,318.69,11032.3,1,1,0
13,12.271,12.291,0.020,"TrackCollider_03_02",TrackSurface,bottom,3,318.07,5.24,318.27,27180.7,1,1,0
14,12.291,12.381,0.090,"TrackCollider_03_02",TrackSurface,bottom,10,316.79,6.56,316.79,22100.5,1,1,0
15,12.381,12.471,0.090,"TrackCollider_03_02",TrackSurface,bottom,10,314.54,7.06,314.50,26948.2,1,1,0
16,12.471,12.621,0.150,"TrackCollider_03_02",TrackSurface,bottom,16,311.23,7.81,311.21,25605.5,1,1,0
17,12.621,12.811,0.190,"TrackCollider_03_02",TrackSurface,bottom,20,306.16,5.85,306.14,15628.8,1,1,0
18,12.811,13.011,0.200,"TrackCollider_03_02",TrackSurface,bottom,21,303.43,5.65,303.41,13596.1,1,1,0
19,13.011,13.141,0.130,"TrackCollider_03_02",TrackSurface,bottom,14,300.74,6.41,300.73,19236.0,1,1,0
20,13.141,13.261,0.120,"TrackCollider_03_02",TrackSurface,bottom,15,299.03,6.05,299.01,22360.5,1,1,0
21,13.261,13.321,0.060,"TrackCollider_03_02",TrackSurface,bottom,7,296.24,6.96,296.73,13759.5,1,1,0
22,13.321,13.361,0.040,"TrackCollider_03_02",TrackSurface,bottom,5,295.82,6.74,295.80,20290.3,1,1,0
23,13.361,13.421,0.060,"TrackCollider_03_02",TrackSurface,bottom,8,294.88,7.70,294.85,26707.3,1,1,0
24,13.421,13.461,0.040,"TrackCollider_03_02",TrackSurface,bottom,6,292.46,7.26,292.66,8059.4,1,1,0
25,13.461,13.511,0.050,"TrackCollider_03_02",TrackSurface,bottom,6,292.45,5.32,292.40,26730.9,1,1,0
26,13.511,13.551,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,289.88,5.85,290.44,13970.8,1,1,0
27,13.551,13.581,0.030,"TrackCollider_03_02",TrackSurface,bottom,5,289.70,8.02,290.23,12438.6,1,1,0
28,13.581,13.621,0.040,"TrackCollider_03_02",TrackSurface,bottom,5,289.74,5.27,289.71,16105.2,1,1,0
29,13.621,13.661,0.040,"TrackCollider_03_02",TrackSurface,bottom,6,287.75,7.89,288.09,11321.5,1,1,0
30,13.661,13.701,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,287.67,5.90,287.65,16125.4,1,1,0
31,13.701,13.741,0.040,"TrackCollider_03_02",TrackSurface,bottom,6,286.68,5.27,286.66,13400.7,1,1,0
32,13.741,13.821,0.080,"TrackCollider_03_02",TrackSurface,bottom,15,285.98,6.91,286.51,14095.6,1,1,0
33,13.821,13.861,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,285.51,6.57,286.08,11656.6,1,1,0
34,13.861,13.901,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,285.44,6.74,285.91,11196.3,1,1,0
35,13.901,13.931,0.030,"TrackCollider_03_02",TrackSurface,bottom,5,285.29,6.78,285.86,15847.7,1,1,0
36,13.931,13.971,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,285.17,5.98,285.75,13174.8,1,1,0
37,13.971,14.011,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,285.22,6.32,285.77,12063.8,1,1,0
38,14.011,14.041,0.030,"TrackCollider_03_02",TrackSurface,bottom,5,285.09,6.50,285.62,12670.2,1,1,0
39,14.041,14.081,0.040,"TrackCollider_03_02",TrackSurface,bottom,6,285.10,6.42,285.26,9253.9,1,1,0
40,14.081,14.161,0.080,"TrackCollider_03_02",TrackSurface,bottom,9,285.09,5.33,285.05,19069.0,1,1,0
41,14.161,14.201,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,283.94,6.35,284.30,9086.5,1,1,0
42,14.201,14.241,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,283.70,6.90,283.89,11210.2,1,1,0
43,14.241,14.281,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,282.88,5.39,283.36,4859.8,1,1,0
44,14.281,14.311,0.030,"TrackCollider_03_02",TrackSurface,bottom,4,283.29,4.84,283.52,16172.5,1,1,0
45,14.311,14.391,0.080,"TrackCollider_03_02",TrackSurface,bottom,15,282.49,6.23,283.50,15572.9,1,1,0
46,14.391,14.431,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,282.36,6.09,283.15,9742.5,1,1,0
47,14.431,14.461,0.030,"TrackCollider_03_02",TrackSurface,bottom,4,282.91,4.66,283.39,9373.8,1,1,0
48,14.461,14.501,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,283.16,6.38,283.84,12742.6,1,1,0
49,14.501,14.541,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,282.95,6.00,283.83,14986.5,1,1,0
50,14.541,14.581,0.040,"TrackCollider_03_02",TrackSurface,bottom,6,283.25,5.48,284.13,10419.4,1,1,0
51,14.581,14.611,0.030,"TrackCollider_03_02",TrackSurface,bottom,4,283.85,3.87,284.07,12353.8,1,1,0
52,14.611,14.651,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,283.81,6.16,284.52,12060.8,1,1,0
53,14.651,14.691,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,284.15,6.51,284.85,12916.9,1,1,0
54,14.691,14.731,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,284.30,6.60,285.01,15489.8,1,1,0
55,14.731,14.761,0.030,"TrackCollider_03_02",TrackSurface,bottom,5,284.12,6.17,284.84,5211.7,1,1,0
56,14.761,14.801,0.040,"TrackCollider_03_02",TrackSurface,bottom,5,284.90,4.56,285.10,8190.1,1,1,0
57,14.801,14.841,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,284.93,6.26,285.66,12896.8,1,1,0
58,14.841,14.871,0.030,"TrackCollider_03_02",TrackSurface,bottom,5,284.91,5.99,285.64,10559.0,1,1,0
59,14.871,14.921,0.050,"TrackCollider_03_02",TrackSurface,bottom,6,285.37,5.04,286.01,13608.2,1,1,0
60,14.921,14.961,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,285.98,6.96,286.50,12744.7,1,1,0
61,14.961,14.991,0.030,"TrackCollider_03_02",TrackSurface,bottom,5,285.90,6.58,286.65,13356.3,1,1,0
62,14.991,15.041,0.050,"TrackCollider_03_02",TrackSurface,bottom,7,286.20,5.40,286.89,10810.4,1,1,0
63,15.041,15.071,0.030,"TrackCollider_03_02",TrackSurface,bottom,4,286.65,4.87,287.27,13270.3,1,1,0
64,15.071,15.111,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,286.83,5.81,287.56,15030.3,1,1,0
65,15.111,15.151,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,287.02,6.07,288.02,16292.7,1,1,0
66,15.151,15.191,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,287.40,6.19,288.19,10819.8,1,1,0
67,15.191,15.231,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,287.92,6.44,288.70,14448.3,1,1,0
68,15.231,15.271,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,287.81,5.83,288.85,10344.1,1,1,0
69,15.271,15.311,0.040,"TrackCollider_03_02",TrackSurface,bottom,6,288.63,4.46,289.34,13991.5,1,1,0
70,15.311,15.351,0.040,"TrackCollider_03_02",TrackSurface,bottom,7,288.90,6.33,289.70,13657.5,1,1,0
