sample,time_s,posX,posY,posZ,speed_ms,speed_kmh,velFwd,velLat,velVert,accelFwd,accelLat,accelVert,accelG,jerk,discontinuity,collisionActive,yawRate_degs,yawAccel_rads2,roll_deg,pitch_deg,slip_deg,upVsUp_deg,grounded,groundedFactor,groundedNodes,minNodeDist_m,inverted,clearance_m,clearanceErr_m,nearBottom,chassisContact,rawThrottle,rawMouseYawInput,processedYawIntent,finalSteeringCommand,steerCommandRatio01,stabilizerArmed,ocCharge,ocBurst,steerStability,steerTilt01,steerRollRate01,hoverRawDemand,hoverClampedTarget,hoverSmoothedCmd,hoverAppliedThrottle,hoverActiveMaxCmd,hoverForceN,hoverSatNodes,hoverOverdrive,hoverPower01,vectoringPower01,surfaceAdhesionAccel_ms2,surfaceAdhesionForceN,surfaceAdhesionLimited,airborneStability01,dragN,wingN,groundEffectN,downforceG,powerReq,powerGranted,powerBudget,overload01,driveShedding01,band,autoHoverCmd,manualBottomCmd,manualRoofCmd,section,arc_m,centerDist_m
0,0.0014,9383.856,3.363,12093.750,0.32,1.2,-0.14,-0.29,0.00,-7.06,-14.47,-0.05,1.642,805.3,1,0,0.14,0.121,-0.06,0.08,0.00,6.8,1,1.00,4,2.943,0,2.478,-0.143,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.39
2,0.0214,9383.851,3.362,12093.740,0.32,1.2,-0.14,-0.29,0.00,-0.02,0.00,0.02,0.003,804.9,1,0,0.14,-0.002,-0.20,-0.05,0.00,6.8,1,1.00,4,2.943,0,2.478,-0.143,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.40
4,0.0414,9383.845,3.361,12093.740,0.32,1.2,-0.14,-0.29,0.00,-0.01,-0.01,0.00,0.001,1.4,1,0,0.14,0.006,0.07,-0.06,0.00,6.8,1,1.00,4,2.943,0,2.478,-0.143,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.40
6,0.0614,9383.839,3.361,12093.740,0.32,1.2,-0.14,-0.29,0.00,-0.01,-0.01,-0.04,0.004,1.8,1,0,0.13,-0.011,-0.20,0.08,0.00,6.8,1,1.00,4,2.943,0,2.478,-0.143,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.40
8,0.0814,9383.833,3.360,12093.740,0.32,1.2,-0.14,-0.29,0.00,-0.01,0.02,0.14,0.014,8.8,1,0,0.13,-0.003,0.08,0.08,0.00,6.8,1,1.00,4,2.943,0,2.478,-0.143,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.41
10,0.1014,9383.827,3.359,12093.740,0.32,1.2,-0.14,-0.29,0.00,-0.02,-0.01,-0.10,0.010,11.8,0,0,0.14,0.007,-0.20,-0.05,0.00,6.8,1,1.00,4,2.943,0,2.478,-0.143,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.41
12,0.1214,9383.821,3.358,12093.730,0.32,1.2,-0.14,-0.29,0.00,-0.01,-0.01,-0.04,0.004,3.2,0,0,0.14,0.001,0.07,-0.06,0.00,6.8,1,1.00,4,2.943,0,2.478,-0.143,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.41
14,0.1414,9383.815,3.358,12093.730,0.32,1.2,-0.14,-0.29,0.00,-0.01,0.00,0.06,0.006,4.6,0,0,0.15,0.009,0.07,-0.06,0.00,6.8,1,1.00,4,2.943,0,2.478,-0.143,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.42
16,0.1614,9383.810,3.357,12093.730,0.32,1.2,-0.14,-0.29,0.00,-0.01,0.01,0.00,0.002,2.8,0,0,0.12,-0.021,-0.20,0.08,0.00,6.8,1,1.00,4,2.943,0,2.478,-0.143,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.42
18,0.1814,9383.804,3.356,12093.730,0.32,1.2,-0.14,-0.29,0.00,-0.01,0.00,0.00,0.001,0.5,0,0,0.12,-0.006,-0.20,-0.05,0.00,6.8,1,1.00,4,2.943,0,2.478,-0.143,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.42
20,0.2014,9383.798,3.356,12093.730,0.32,1.2,-0.14,-0.29,0.00,-0.01,-0.01,-0.02,0.002,1.1,0,0,0.13,0.009,-0.06,-0.06,0.00,6.8,1,1.00,4,2.943,0,2.478,-0.143,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.43
22,0.2214,9383.792,3.355,12093.720,0.32,1.2,-0.14,-0.29,0.00,-0.01,-0.02,-0.04,0.004,0.9,0,0,0.12,-0.004,0.08,0.08,0.00,6.8,1,1.00,4,2.943,0,2.478,-0.143,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.43
24,0.2414,9383.786,3.354,12093.720,0.32,1.1,-0.15,-0.28,0.01,-0.18,0.58,0.61,0.087,44.6,0,0,-0.22,-0.298,2.77,0.88,0.00,6.8,1,1.00,4,2.942,0,2.477,-0.142,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.43
26,0.2614,9383.780,3.354,12093.720,0.31,1.1,-0.15,-0.27,0.01,-0.11,0.30,-0.17,0.037,41.4,0,0,-0.38,-0.144,2.22,0.75,0.00,6.8,1,1.00,4,2.942,0,2.477,-0.142,0,0,0.000,0.000,0.000,0.000,0.000,1,0.00,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0.0,0,0,1.000,1.000,0.00,0.0,0,0.000,0.0,0.0,0.0,0.000,0.0,0.0,4500.0,0.000,0.000,0,0.000,0.000,0.000,60,48230.4,4.44
