id,type,start_s,end_s,duration_s,severity,speed_kmh,section,posX,posY,posZ,evidence,detail,startSample,endSample
1,UnexpectedLaunch,4.481,5.001,0.520,2,464.8,0,9382.8,40.5,12297.1,"Unknown","aero: v=129.1m/s vVert=5.1m/s gravity=107910N hover=0N GE=20416N body=22423N surfaces=0N torque=14660Nm AoA=-2.3deg slip=0.3deg probes=4/4 upVsNormal=2deg fwdVsAirflow=2deg",454,500
2,UnexpectedLaunch,5.341,7.201,1.860,2,579.9,0,9390.1,83.4,12414.2,"Unknown","aero: v=161.1m/s vVert=5.5m/s gravity=107910N hover=0N GE=31782N body=34919N surfaces=0N torque=22793Nm AoA=-2.0deg slip=0.3deg probes=4/4 upVsNormal=2deg fwdVsAirflow=2deg",540,720
3,Takeoff,7.201,7.201,0.000,1,809.3,0,9387.2,190.7,12744.5,"None","at 809 km/h | aero: v=224.8m/s vVert=10.0m/s gravity=107910N hover=0N GE=0N body=67899N surfaces=0N torque=44469Nm AoA=-2.5deg slip=-1.8deg probes=4/4 upVsNormal=-1deg fwdVsAirflow=3deg",720,720
4,Landing,8.201,8.201,0.000,1,906.2,1,9388.6,196.0,12984.6,"None","impact -11.7 m/s | aero: v=251.7m/s vVert=12.0m/s gravity=107910N hover=0N GE=46575N body=84954N surfaces=0N torque=55712Nm AoA=-2.7deg slip=3.1deg probes=4/4 upVsNormal=4deg fwdVsAirflow=4deg",820,820
5,UnexpectedLaunch,8.201,11.381,3.180,2,913.2,1,9388.6,196.0,12999.8,"CollisionRebound, Unknown","aero: v=253.7m/s vVert=12.7m/s gravity=107910N hover=0N GE=78815N body=86301N surfaces=0N torque=56641Nm AoA=-2.9deg slip=2.7deg probes=4/4 upVsNormal=4deg fwdVsAirflow=4deg",826,1138
6,NearBottoming,10.981,11.001,0.020,2,1202.5,1,9284.2,325.0,13778.5,"ExcessiveDownforce","",1098,1100
7,ConfirmedBottoming,11.001,19.021,8.020,3,1204.1,1,9282.2,328.2,13784.0,"ExcessiveDownforce","",1100,1902
8,ChassisImpact,11.041,11.041,0.000,2,1207.2,1,9278.3,334.6,13795.1,"None","TrackCollider_03_02, normal 8.1 m/s, region bottom",1104,1104
9,Scrape,11.361,11.361,0.000,1,1156.9,1,9250.6,394.9,13876.0,"None","TrackCollider_03_02, 0.32s, region bottom",1136,1136
10,Scrape,11.701,11.701,0.000,1,1155.8,1,9225.6,473.6,13946.3,"None","TrackCollider_03_02, 0.34s, region bottom",1170,1170
11,Scrape,16.361,16.361,0.000,1,1087.5,1,9209.6,749.7,13336.3,"None","TrackCollider_03_02, 0.70s, region bottom",1636,1636
12,Scrape,16.661,16.661,0.000,1,1104.5,1,9212.3,658.8,13338.9,"None","TrackCollider_03_02, 0.30s, region bottom",1666,1666
13,UnexpectedLaunch,17.901,20.541,2.640,2,1209.3,1,9172.4,318.9,13550.7,"CollisionRebound, Unknown","aero: v=335.9m/s vVert=5.6m/s gravity=107910N hover=0N GE=138218N body=151997N surfaces=0N torque=98896Nm AoA=-1.0deg slip=-0.5deg probes=4/4 upVsNormal=1deg fwdVsAirflow=1deg",1796,2054
14,Scrape,18.401,18.401,0.000,1,1171.6,1,9141.6,245.8,13672.8,"None","TrackCollider_03_02, 0.41s, region bottom",1840,1840
15,Scrape,18.761,18.761,0.000,1,1115.7,1,9116.0,205.4,13776.4,"None","TrackCollider_03_02, 0.36s, region bottom",1876,1876
16,ProbeSurfaceChanged,18.781,18.801,0.020,1,1112.2,1,9114.6,203.6,13782.1,"None","",1878,1880
17,NearBottoming,19.021,19.061,0.040,2,1114.3,1,9097.7,184.8,13851.5,"ExcessiveDownforce","",1902,1906
18,UnexpectedLaunch,20.881,21.561,0.680,2,1232.5,1,9014.1,144.5,14477.0,"Unknown","aero: v=342.4m/s vVert=7.6m/s gravity=107910N hover=0N GE=143581N body=152321N surfaces=0N torque=109174Nm AoA=-1.3deg slip=-16.4deg probes=4/4 upVsNormal=4deg fwdVsAirflow=16deg",2094,2156
19,UnexpectedLaunch,22.061,22.421,0.360,2,1316.4,2,9054.9,138.8,14891.0,"Unknown","aero: v=365.7m/s vVert=9.2m/s gravity=107910N hover=0N GE=161944N body=173619N surfaces=0N torque=122564Nm AoA=-1.5deg slip=-15.6deg probes=4/4 upVsNormal=2deg fwdVsAirflow=16deg",2212,2242
20,HighSlipAngle,22.221,23.061,0.840,3,1277.8,2,9078.7,139.3,14981.9,"TractionOpposition","",2238,2306
21,AeroBroadsidePenalty,22.181,23.641,1.460,2,1236.1,2,9092.4,140.0,15021.4,"TractionOpposition","",2250,2364
22,ExcessiveSideSlip,22.301,22.901,0.600,3,1236.1,2,9092.4,140.0,15021.4,"TractionOpposition","",2250,2290
23,NearBottoming,23.801,23.861,0.060,2,1054.8,2,9334.3,149.5,15326.8,"ExcessiveDownforce","",2380,2386
24,ConfirmedBottoming,23.861,26.661,2.800,3,1053.8,2,9349.4,149.1,15335.6,"ExcessiveDownforce","",2386,2666
25,UnexpectedLaunch,23.881,26.901,3.020,2,1052.3,2,9370.0,148.4,15346.7,"CollisionRebound, Unknown","aero: v=292.3m/s vVert=16.6m/s gravity=107910N hover=0N GE=104655N body=111016N surfaces=0N torque=82317Nm AoA=-3.4deg slip=-17.6deg probes=4/4 upVsNormal=19deg fwdVsAirflow=18deg",2394,2690
26,Scrape,25.101,25.101,0.000,1,939.0,2,9675.7,141.8,15418.3,"None","TrackCollider_03_03, 1.12s, region bottom",2510,2510
27,Scrape,25.481,25.481,0.000,1,917.5,2,9773.8,144.7,15418.9,"None","TrackCollider_03_03, 0.25s, region bottom",2548,2548
28,Scrape,26.381,26.381,0.000,1,633.4,2,9964.0,149.5,15386.5,"None","TrackCollider_03_03, 0.90s, region bottom",2638,2638
29,NearBottoming,26.661,26.681,0.020,2,652.2,3,10012.0,147.3,15373.8,"ExcessiveDownforce","",2666,2668
30,Takeoff,26.901,26.901,0.000,1,662.4,3,10055.5,143.7,15366.2,"None","at 662 km/h | aero: v=184.0m/s vVert=68.6m/s gravity=107910N hover=0N GE=0N body=41101N surfaces=0N torque=41074Nm AoA=-22.5deg slip=13.8deg probes=4/4 upVsNormal=-1deg fwdVsAirflow=26deg",2690,2690
31,ProbeGraceEntered,26.961,26.961,0.000,1,667.1,3,10066.5,142.8,15365.1,"None","Hover_RL: probe missed, holding stale surface (dist 7.00 m)",2696,2696
32,ProbeGraceEntered,26.961,26.961,0.000,1,667.1,3,10066.5,142.8,15365.1,"None","Hover_RR: probe missed, holding stale surface (dist 7.00 m)",2696,2696
