sample,time_s,node,probeHit,probeMode,usingGrace,dataAge_s,surfaceChanged,normalDelta_deg,startedInside,hitBackface,dist_m,heightErr_m,autoHoverCmd,manualBottomCmd,overchargeCmd,gravity,curvature,spring,damping,oscillation,attitude,preClamp,finalCmd,ceiling,appliedThrottle,forceN,reqPower,grantedPower,power01,overdrive,saturated
0,0.0014,0,1,1,0,0.000,0,0.0,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
0,0.0014,1,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
0,0.0014,2,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
0,0.0014,3,1,1,0,0.000,0,0.6,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
2,0.0214,0,1,1,0,0.000,0,0.6,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
2,0.0214,1,1,1,0,0.000,0,0.0,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
2,0.0214,2,1,1,0,0.000,0,0.0,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
2,0.0214,3,1,1,0,0.000,0,0.6,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
4,0.0414,0,1,1,0,0.000,0,0.0,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
4,0.0414,1,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
4,0.0414,2,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
4,0.0414,3,1,1,0,0.000,0,0.6,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
6,0.0614,0,1,1,0,0.000,0,0.0,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
6,0.0614,1,1,1,0,0.000,0,0.0,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
6,0.0614,2,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
6,0.0614,3,1,1,0,0.000,0,0.6,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
8,0.0814,0,1,1,0,0.000,0,0.0,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
8,0.0814,1,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
8,0.0814,2,1,1,0,0.000,0,0.0,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
8,0.0814,3,1,1,0,0.000,0,0.0,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
10,0.1014,0,1,1,0,0.000,0,0.0,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
10,0.1014,1,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
10,0.1014,2,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
10,0.1014,3,1,1,0,0.000,0,0.0,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
12,0.1214,0,1,1,0,0.000,0,0.0,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
12,0.1214,1,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
12,0.1214,2,1,1,0,0.000,0,0.0,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
