# capacities: continuous 640000 N, highLoad 1280000 N, emergency 4480000 N. band: 0 Continuous 1 Performance 2 Extreme 3 Emergency 4 Saturated
sample,time_s,band,appliedCmdAvg,rawDemandAvg,requiredLoadN,dynamicLoadN,contReserveN,highReserveN,emergReserveN,curvReqMs2,curvAppliedMs2,curvClamped,availAccelMs2,accelReserveMs2,normalRate_degs,adhesionAccelMs2,adhesionForceN,adhesionLimited,airStability01,aeroN,grounded
0,0.001,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
2,0.021,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
4,0.041,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
6,0.061,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
8,0.081,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
10,0.101,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
12,0.121,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
14,0.141,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
16,0.161,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
18,0.181,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
20,0.201,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
22,0.221,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
24,0.241,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
26,0.261,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
28,0.281,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
30,0.301,0,0.000,0.000,0,0,640000,1280000,4480000,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,0,1
