time_s,event
1.7414,PhaseAssistActivated
1.9514,PhaseAssistActivated
2.1414,PhaseAssistActivated
2.2114,PhaseAssistActivated
2.2514,PhaseAssistActivated
2.3514,PhaseAssistActivated
2.4114,PhaseAssistActivated
2.4314,PhaseAssistActivated
2.6514,PhaseAssistActivated
2.7414,PhaseAssistActivated
2.8314,PhaseAssistActivated
2.9614,PhaseAssistActivated
3.1414,PhaseAssistActivated
3.1714,PhaseAssistActivated
3.2114,PhaseAssistActivated
3.2314,PhaseAssistActivated
3.3014,PhaseAssistActivated
3.3714,PhaseAssistActivated
3.4114,PhaseAssistActivated
3.4614,PhaseAssistActivated
3.5014,PhaseAssistActivated
3.5214,PhaseAssistActivated
3.5514,PhaseAssistActivated
3.5914,PhaseAssistActivated
3.6114,PhaseAssistActivated
3.6714,PhaseAssistActivated
3.6914,PhaseAssistActivated
3.7114,PhaseAssistActivated
3.7414,PhaseAssistActivated
3.7714,PhaseAssistActivated
3.8114,PhaseAssistActivated
3.8314,PhaseAssistActivated
3.8514,PhaseAssistActivated
3.9114,PhaseAssistActivated
3.9514,PhaseAssistActivated
3.9814,PhaseAssistActivated
4.0214,PhaseAssistActivated
4.0414,PhaseAssistActivated
4.0714,PhaseAssistActivated
4.0914,PhaseAssistActivated
4.1314,PhaseAssistActivated
4.1514,PhaseAssistActivated
4.1814,PhaseAssistActivated
4.2514,PhaseAssistActivated
4.2814,PhaseAssistActivated
4.3014,PhaseAssistActivated
4.3314,PhaseAssistActivated
4.3514,PhaseAssistActivated
4.4114,PhaseAssistActivated
4.4614,PhaseAssistActivated
4.4814,PhaseAssistActivated
4.5314,PhaseAssistActivated
4.5614,PhaseAssistActivated
4.5914,PhaseAssistActivated
4.6114,PhaseAssistActivated
4.6414,PhaseAssistActivated
4.7214,PhaseAssistActivated
4.7514,PhaseAssistActivated
4.7714,PhaseAssistActivated
4.8114,PhaseAssistActivated
4.8314,PhaseAssistActivated
4.8714,PhaseAssistActivated
4.9114,PhaseAssistActivated
4.9314,PhaseAssistActivated
4.9614,PhaseAssistActivated
4.9814,PhaseAssistActivated
5.0014,PhaseAssistActivated
5.0214,PhaseAssistActivated
5.0814,PhaseAssistActivated
5.1214,PhaseAssistActivated
5.1414,PhaseAssistActivated
5.1814,PhaseAssistActivated
5.2214,PhaseAssistActivated
5.2614,PhaseAssistActivated
5.2914,PhaseAssistActivated
5.3114,PhaseAssistActivated
5.3514,PhaseAssistActivated
5.3714,PhaseAssistActivated
5.4014,PhaseAssistActivated
5.4214,PhaseAssistActivated
5.4614,PhaseAssistActivated
5.4914,PhaseAssistActivated
5.5314,PhaseAssistActivated
5.5714,PhaseAssistActivated
5.6114,PhaseAssistActivated
5.6714,PhaseAssistActivated
5.7014,PhaseAssistActivated
5.7214,PhaseAssistActivated
5.7714,PhaseAssistActivated
5.8414,PhaseAssistActivated
5.9314,PhaseAssistActivated
5.9614,PhaseAssistActivated
6.0014,PhaseAssistActivated
6.0314,PhaseAssistActivated
6.0514,PhaseAssistActivated
6.0714,PhaseAssistActivated
6.2214,PhaseAssistActivated
6.2414,PhaseAssistActivated
6.2614,PhaseAssistActivated
6.3214,PhaseAssistActivated
6.3814,PhaseAssistActivated
6.5014,PhaseAssistActivated
6.5714,PhaseAssistActivated
6.6014,PhaseAssistActivated
6.6914,PhaseAssistActivated
6.7414,PhaseAssistActivated
6.7714,PhaseAssistActivated
6.8114,PhaseAssistActivated
6.8714,PhaseAssistActivated
6.9214,PhaseAssistActivated
6.9714,PhaseAssistActivated
7.0114,PhaseAssistActivated
7.0414,PhaseAssistActivated
7.0814,PhaseAssistActivated
7.1214,PhaseAssistActivated
7.1814,PhaseAssistActivated
7.5414,PhaseAssistActivated
7.7614,PhaseAssistActivated
7.7814,PhaseAssistActivated
7.8614,PhaseAssistActivated
7.8914,PhaseAssistActivated
7.9214,PhaseAssistActivated
7.9414,PhaseAssistActivated
7.9814,PhaseAssistActivated
8.0214,PhaseAssistActivated
8.0614,PhaseAssistActivated
8.1014,PhaseAssistActivated
8.1314,PhaseAssistActivated
8.1514,PhaseAssistActivated
8.1714,PhaseAssistActivated
8.2514,PhaseAssistActivated
8.3714,PhaseAssistActivated
8.4014,PhaseAssistActivated
8.4414,PhaseAssistActivated
8.4614,PhaseAssistActivated
8.5214,PhaseAssistActivated
8.5514,PhaseAssistActivated
8.5914,PhaseAssistActivated
8.6214,PhaseAssistActivated
8.6514,PhaseAssistActivated
8.6814,PhaseAssistActivated
8.7214,PhaseAssistActivated
8.7814,PhaseAssistActivated
8.8714,PhaseAssistActivated
8.8914,PhaseAssistActivated
8.9214,PhaseAssistActivated
8.9714,PhaseAssistActivated
8.9914,PhaseAssistActivated
9.0314,PhaseAssistActivated
9.0814,PhaseAssistActivated
9.1314,PhaseAssistActivated
9.1514,PhaseAssistActivated
9.2714,PhaseAssistActivated
9.2914,PhaseAssistActivated
9.3214,PhaseAssistActivated
9.3514,PhaseAssistActivated
9.4514,PhaseAssistActivated
9.5414,PhaseAssistActivated
9.5614,PhaseAssistActivated
9.5814,PhaseAssistActivated
9.6314,PhaseAssistActivated
9.6714,PhaseAssistActivated
9.7014,PhaseAssistActivated
9.7314,PhaseAssistActivated
9.7914,PhaseAssistActivated
9.8414,PhaseAssistActivated
9.9414,PhaseAssistActivated
10.2214,PhaseAssistActivated
10.7714,PhaseAssistActivated
18.7014,PhaseAssistActivated
18.8114,PhaseAssistActivated
19.2814,PhaseAssistActivated
19.4014,PhaseAssistActivated
19.5114,PhaseAssistActivated
19.5714,PhaseAssistActivated
19.6014,PhaseAssistActivated
19.6514,PhaseAssistActivated
19.6714,PhaseAssistActivated
19.7714,PhaseAssistActivated
19.8214,PhaseAssistActivated
19.8414,PhaseAssistActivated
19.8814,PhaseAssistActivated
19.9114,PhaseAssistActivated
19.9714,PhaseAssistActivated
19.9914,PhaseAssistActivated
20.0414,PhaseAssistActivated
20.1314,PhaseAssistActivated
20.1714,PhaseAssistActivated
20.1914,PhaseAssistActivated
20.2214,PhaseAssistActivated
20.3314,PhaseAssistActivated
20.3614,PhaseAssistActivated
20.3814,PhaseAssistActivated
20.4114,PhaseAssistActivated
20.5114,PhaseAssistActivated
20.8714,PhaseAssistActivated
20.9514,PhaseAssistActivated
20.9714,PhaseAssistActivated
20.9914,PhaseAssistActivated
21.0414,PhaseAssistActivated
21.0614,PhaseAssistActivated
21.0814,PhaseAssistActivated
21.1114,PhaseAssistActivated
21.1314,PhaseAssistActivated
21.1614,PhaseAssistActivated
21.1914,PhaseAssistActivated
21.2114,PhaseAssistActivated
21.2314,PhaseAssistActivated
21.2814,PhaseAssistActivated
21.3114,PhaseAssistActivated
21.3614,PhaseAssistActivated
21.4214,PhaseAssistActivated
21.4514,PhaseAssistActivated
21.4914,PhaseAssistActivated
21.5114,PhaseAssistActivated
21.5614,PhaseAssistActivated
21.5914,PhaseAssistActivated
21.6314,PhaseAssistActivated
21.6714,PhaseAssistActivated
21.7414,PhaseAssistActivated
21.7614,PhaseAssistActivated
21.7814,PhaseAssistActivated
21.8314,PhaseAssistActivated
21.8614,PhaseAssistActivated
21.9514,PhaseAssistActivated
22.0114,PhaseAssistActivated
22.1614,PhaseAssistActivated
22.2214,PhaseAssistActivated
22.2614,PhaseAssistActivated
22.2914,PhaseAssistActivated
24.7714,PhaseAssistActivated
25.0314,PhaseAssistActivated
25.0814,PhaseAssistActivated
25.1114,PhaseAssistActivated
25.2114,PhaseAssistActivated
25.3014,PhaseAssistActivated
25.5314,PhaseAssistActivated
25.9114,PhaseAssistActivated
25.9714,PhaseAssistActivated
26.0214,PhaseAssistActivated
26.0414,PhaseAssistActivated
26.0814,PhaseAssistActivated
26.1214,PhaseAssistActivated
26.1414,PhaseAssistActivated
26.1814,PhaseAssistActivated
26.2214,PhaseAssistActivated
26.2614,PhaseAssistActivated
26.3114,PhaseAssistActivated
26.3414,PhaseAssistActivated
26.4214,PhaseAssistActivated
26.4614,PhaseAssistActivated
26.4914,PhaseAssistActivated
26.5914,PhaseAssistActivated
26.7814,PhaseAssistActivated
27.1014,PhaseCouplingLost
27.1114,PhaseAssistActivated
27.1114,AirborneThrusterOnly
27.1314,PhaseAssistActivated
27.1314,AirborneThrusterOnly
27.1614,PhaseAssistActivated
27.1614,AirborneThrusterOnly
27.1914,PhaseAssistActivated
27.1914,AirborneThrusterOnly
27.2114,AirborneThrusterOnly
35.0414,FlightReserveLow
37.6814,FlightReserveDepleted
40.4514,PhaseCouplingReacquired
40.4514,PhaseAssistActivated
40.4514,RaceSurfaceDriving
40.8214,PhaseAssistActivated
40.8614,PhaseAssistActivated
40.8814,PhaseAssistActivated
40.9014,PhaseAssistActivated
40.9514,PhaseAssistActivated
40.9914,PhaseAssistActivated
41.0314,PhaseAssistActivated
41.0514,PhaseAssistActivated
41.0814,PhaseAssistActivated
41.1214,PhaseAssistActivated
41.1514,PhaseAssistActivated
41.1714,PhaseAssistActivated
41.2314,PhaseAssistActivated
41.2814,PhaseAssistActivated
41.3314,PhaseAssistActivated
41.3614,PhaseAssistActivated
41.4414,PhaseAssistActivated
41.4714,PhaseAssistActivated
41.4914,PhaseAssistActivated
41.5114,PhaseAssistActivated
41.5514,PhaseAssistActivated
41.5914,PhaseAssistActivated
41.6814,PhaseAssistActivated
41.7714,PhaseAssistActivated
41.8014,PhaseAssistActivated
41.8914,PhaseAssistActivated
41.9414,PhaseAssistActivated
41.9814,PhaseAssistActivated
42.0114,PhaseAssistActivated
42.0514,PhaseAssistActivated
42.0814,PhaseAssistActivated
42.1114,PhaseAssistActivated
42.1514,PhaseAssistActivated
42.1814,PhaseAssistActivated
42.2414,PhaseAssistActivated
42.2714,PhaseAssistActivated
42.3014,PhaseAssistActivated
42.3314,PhaseAssistActivated
42.3614,PhaseAssistActivated
42.5114,PhaseAssistActivated
42.5514,PhaseAssistActivated
42.6514,PhaseAssistActivated
42.6814,PhaseAssistActivated
42.7114,PhaseAssistActivated
42.7314,PhaseAssistActivated
42.7614,PhaseAssistActivated
43.2714,PhaseAssistActivated
43.3314,PhaseAssistActivated
43.3814,PhaseAssistActivated
43.4114,PhaseAssistActivated
43.4414,PhaseAssistActivated
43.6814,PhaseAssistActivated
43.7514,PhaseAssistActivated
43.8414,PhaseAssistActivated
43.8714,PhaseAssistActivated
43.9214,PhaseAssistActivated
43.9614,PhaseAssistActivated
43.9814,PhaseAssistActivated
44.0014,PhaseAssistActivated
44.0814,PhaseAssistActivated
44.1314,PhaseAssistActivated
44.1514,PhaseAssistActivated
44.1814,PhaseAssistActivated
44.2114,PhaseAssistActivated
44.2314,PhaseAssistActivated
44.2614,PhaseAssistActivated
44.3014,PhaseAssistActivated
44.3214,PhaseAssistActivated
44.3714,PhaseAssistActivated
44.4014,PhaseAssistActivated
44.5714,PhaseAssistActivated
44.8414,PhaseCouplingLost
44.8414,AirborneThrusterOnly
44.9614,AirborneThrusterOnly
51.7614,PhaseCouplingReacquired
51.7614,RaceSurfaceDriving
52.9414,PhaseAssistActivated
53.1114,PhaseAssistActivated
53.1914,PhaseAssistActivated
53.3814,PhaseAssistActivated
53.4914,PhaseAssistActivated
53.5314,PhaseAssistActivated
53.5714,PhaseAssistActivated
53.7014,PhaseAssistActivated
53.8014,PhaseAssistActivated
53.8514,PhaseAssistActivated
53.9514,PhaseAssistActivated
54.0514,PhaseAssistActivated
54.2414,PhaseAssistActivated
54.2914,PhaseAssistActivated
54.3214,PhaseAssistActivated
54.3614,PhaseAssistActivated
54.4214,PhaseAssistActivated
54.4514,PhaseAssistActivated
54.5214,PhaseAssistActivated
54.6214,PhaseAssistActivated
54.6514,PhaseAssistActivated
54.6814,PhaseAssistActivated
54.7014,PhaseAssistActivated
54.7414,PhaseAssistActivated
54.7714,PhaseAssistActivated
54.8214,PhaseAssistActivated
54.8414,PhaseAssistActivated
54.8614,PhaseAssistActivated
54.8914,PhaseAssistActivated
54.9314,PhaseAssistActivated
54.9614,PhaseAssistActivated
54.9814,PhaseAssistActivated
55.0014,PhaseAssistActivated
55.0214,PhaseAssistActivated
55.0614,PhaseAssistActivated
55.0814,PhaseAssistActivated
55.1014,PhaseAssistActivated
55.1214,PhaseAssistActivated
55.1614,PhaseAssistActivated
55.1914,PhaseAssistActivated
55.2214,PhaseAssistActivated
55.2414,PhaseAssistActivated
55.2714,PhaseAssistActivated
55.2914,PhaseAssistActivated
55.3314,PhaseAssistActivated
55.3514,PhaseAssistActivated
55.4314,PhaseAssistActivated
55.4714,PhaseAssistActivated
55.5214,PhaseAssistActivated
55.5414,PhaseAssistActivated
55.5814,PhaseAssistActivated
55.6414,PhaseAssistActivated
55.6614,PhaseAssistActivated
55.6914,PhaseAssistActivated
55.7214,PhaseAssistActivated
55.7714,PhaseAssistActivated
55.8114,PhaseAssistActivated
55.8314,PhaseAssistActivated
55.8614,PhaseAssistActivated
55.9014,PhaseAssistActivated
55.9214,PhaseAssistActivated
55.9514,PhaseAssistActivated
55.9814,PhaseAssistActivated
56.0214,PhaseAssistActivated
56.0814,PhaseAssistActivated
56.1214,PhaseAssistActivated
56.1514,PhaseAssistActivated
56.2214,PhaseAssistActivated
56.2414,PhaseAssistActivated
56.2614,PhaseAssistActivated
56.3014,PhaseAssistActivated
56.3214,PhaseAssistActivated
56.3814,PhaseAssistActivated
56.4014,PhaseAssistActivated
56.4214,PhaseAssistActivated
56.4414,PhaseAssistActivated
56.4814,PhaseAssistActivated
56.5114,PhaseAssistActivated
56.5314,PhaseAssistActivated
56.5614,PhaseAssistActivated
56.6414,PhaseAssistActivated
56.7014,PhaseAssistActivated
56.7314,PhaseAssistActivated
56.7914,PhaseAssistActivated
56.8714,PhaseAssistActivated
56.9214,PhaseAssistActivated
56.9414,PhaseAssistActivated
57.0614,PhaseAssistActivated
57.0814,PhaseAssistActivated
57.1014,PhaseAssistActivated
57.1414,PhaseAssistActivated
57.1614,PhaseAssistActivated
57.2714,PhaseAssistActivated
57.2914,PhaseAssistActivated
57.3314,PhaseAssistActivated
57.3514,PhaseAssistActivated
57.3814,PhaseAssistActivated
57.4114,PhaseAssistActivated
57.4714,PhaseAssistActivated
57.5614,PhaseAssistActivated
57.6114,PhaseAssistActivated
57.6614,PhaseAssistActivated
57.7114,PhaseAssistActivated
57.7414,PhaseAssistActivated
57.8414,PhaseAssistActivated
57.8714,PhaseAssistActivated
57.9214,PhaseAssistActivated
57.9714,PhaseAssistActivated
57.9914,PhaseAssistActivated
58.0914,PhaseAssistActivated
58.1214,PhaseAssistActivated
58.1714,PhaseAssistActivated
58.2714,PhaseAssistActivated
58.8414,PhaseAssistActivated
58.8714,PhaseAssistActivated
58.9114,PhaseAssistActivated
59.0714,PhaseAssistActivated
59.1214,PhaseAssistActivated
59.1714,PhaseAssistActivated
59.2214,PhaseAssistActivated
59.2714,PhaseAssistActivated
59.3214,PhaseAssistActivated
59.4214,PhaseAssistActivated
59.5614,PhaseAssistActivated
59.5814,PhaseAssistActivated
59.6014,PhaseAssistActivated
59.6414,PhaseAssistActivated
59.6714,PhaseAssistActivated
59.6914,PhaseAssistActivated
59.7514,PhaseAssistActivated
59.9114,PhaseAssistActivated
59.9614,PhaseAssistActivated
60.0014,PhaseAssistActivated
60.0514,PhaseAssistActivated
60.0814,PhaseAssistActivated
60.2114,PhaseAssistActivated
60.2414,PhaseAssistActivated
60.2714,PhaseAssistActivated
60.3414,PhaseAssistActivated
60.4114,PhaseAssistActivated
60.4314,PhaseAssistActivated
60.4514,PhaseAssistActivated
60.4714,PhaseAssistActivated
60.5114,PhaseAssistActivated
60.5314,PhaseAssistActivated
60.6014,PhaseAssistActivated
60.6914,PhaseAssistActivated
60.7314,PhaseAssistActivated
60.7914,PhaseAssistActivated
60.8214,PhaseAssistActivated
61.7914,PhaseAssistActivated
61.9114,PhaseAssistActivated
61.9514,PhaseAssistActivated
69.3214,PhaseAssistActivated
69.3914,PhaseAssistActivated
69.7514,PhaseAssistActivated
70.9414,PhaseAssistActivated
70.9914,PhaseAssistActivated
71.0114,PhaseAssistActivated
71.0914,PhaseAssistActivated
71.1614,PhaseAssistActivated
71.2614,PhaseAssistActivated
71.7214,PhaseAssistActivated
71.7514,PhaseAssistActivated
72.0914,PhaseAssistActivated
72.1114,PhaseAssistActivated
72.1314,PhaseAssistActivated
72.6014,PhaseAssistActivated
72.7914,PhaseAssistActivated
72.9714,PhaseAssistActivated
73.3314,PhaseAssistActivated
73.6814,PhaseAssistActivated
73.7214,PhaseAssistActivated
73.8214,PhaseAssistActivated
73.9314,PhaseAssistActivated
74.1314,PhaseAssistActivated
75.0514,PhaseAssistActivated
75.4514,PhaseAssistActivated
76.1514,PhaseAssistActivated
76.4514,PhaseAssistActivated
77.7014,PhaseAssistActivated
77.7514,PhaseAssistActivated
77.7914,PhaseAssistActivated
77.8114,PhaseAssistActivated
77.9114,PhaseAssistActivated
77.9514,PhaseAssistActivated
78.1314,PhaseAssistActivated
78.1714,PhaseAssistActivated
78.2214,PhaseAssistActivated
78.2814,PhaseCouplingLost
78.2814,AirborneThrusterOnly
82.1914,PhaseAssistActivated
82.2014,PhaseCouplingReacquired
82.2014,RaceSurfaceDriving
82.3414,PhaseAssistActivated
82.3514,PhaseCouplingLost
82.3514,AirborneThrusterOnly
86.6514,PhaseAssistActivated
86.6614,PhaseCouplingReacquired
86.6614,RaceSurfaceDriving
87.0014,PhaseAssistActivated
87.6514,PhaseAssistActivated
88.3014,PhaseAssistActivated
89.3414,PhaseAssistActivated
89.4614,PhaseAssistActivated
89.5214,PhaseAssistActivated
89.5414,PhaseAssistActivated
89.5714,PhaseAssistActivated
89.6314,PhaseAssistActivated
89.6714,PhaseAssistActivated
89.7614,PhaseAssistActivated
89.7814,PhaseAssistActivated
89.8214,PhaseAssistActivated
89.8714,PhaseAssistActivated
89.8914,PhaseAssistActivated
90.0614,PhaseAssistActivated
90.1314,PhaseCouplingLost
90.2514,AirborneThrusterOnly
95.7614,FlightReserveLow
96.9014,FlightReserveDepleted
100.3014,PhaseCouplingReacquired
100.3014,RaceSurfaceDriving
