sample,time_s,validNodes,averageQuality,reserveCurrent,reservePercent,reserveRechargeRate,reserveDrainRate,phaseSupportN,thrusterSupportN,automaticThrusterSupportN,manualThrusterSupportN,captureState,surfaceLoss,assistActive,weakSurface,raceSurface
0,0.0014,4,1.000,100.000,1.0000,0.000,0.000,107619.6,0.0,0.0,0.0,Full,0,0,0,1
2,0.0214,4,1.000,100.000,1.0000,0.000,0.000,106686.5,0.0,0.0,0.0,Full,0,0,0,1
4,0.0414,4,1.000,100.000,1.0000,0.000,0.000,107591.9,0.0,0.0,0.0,Full,0,0,0,1
6,0.0614,4,1.000,100.000,1.0000,0.000,0.000,108011.2,0.0,0.0,0.0,Full,0,0,0,1
8,0.0814,4,1.000,100.000,1.0000,0.000,0.000,104139.1,0.0,0.0,0.0,Full,0,0,0,1
10,0.1014,4,1.000,100.000,1.0000,0.000,0.000,107582.1,0.0,0.0,0.0,Full,0,0,0,1
12,0.1214,4,1.000,100.000,1.0000,0.000,0.000,107997.4,0.0,0.0,0.0,Full,0,0,0,1
14,0.1414,4,1.000,100.000,1.0000,0.000,0.000,107664.2,0.0,0.0,0.0,Full,0,0,0,1
16,0.1614,4,1.000,100.000,1.0000,0.000,0.000,106690.3,0.0,0.0,0.0,Full,0,0,0,1
18,0.1814,4,1.000,100.000,1.0000,0.000,0.000,106274.3,0.0,0.0,0.0,Full,0,0,0,1
20,0.2014,4,1.000,100.000,1.0000,0.000,0.000,106732.6,0.0,0.0,0.0,Full,0,0,0,1
22,0.2214,4,1.000,100.000,1.0000,0.000,0.000,125350.6,0.0,0.0,0.0,Full,0,0,0,1
24,0.2414,4,1.000,100.000,1.0000,0.000,0.000,104356.3,0.0,0.0,0.0,Full,0,0,0,1
26,0.2614,4,1.000,100.000,1.0000,0.000,0.000,104124.0,0.0,0.0,0.0,Full,0,0,0,1
28,0.2814,4,1.000,100.000,1.0000,0.000,0.000,105535.5,0.0,0.0,0.0,Full,0,0,0,1
30,0.3014,4,1.000,100.000,1.0000,0.000,0.000,105550.1,0.0,0.0,0.0,Full,0,0,0,1
32,0.3214,4,1.000,100.000,1.0000,0.000,0.000,107437.9,0.0,0.0,0.0,Full,0,0,0,1
34,0.3414,4,1.000,100.000,1.0000,0.000,0.000,107088.4,0.0,0.0,0.0,Full,0,0,0,1
36,0.3614,4,1.000,100.000,1.0000,0.000,0.000,108417.8,0.0,0.0,0.0,Full,0,0,0,1
38,0.3814,4,1.000,100.000,1.0000,0.000,0.000,106815.5,0.0,0.0,0.0,Full,0,0,0,1
40,0.4014,4,1.000,100.000,1.0000,0.000,0.000,107154.5,0.0,0.0,0.0,Full,0,0,0,1
42,0.4214,4,1.000,100.000,1.0000,0.000,0.000,107605.7,0.0,0.0,0.0,Full,0,0,0,1
44,0.4414,4,1.000,100.000,1.0000,0.000,0.000,108352.6,0.0,0.0,0.0,Full,0,0,0,1
46,0.4614,4,1.000,100.000,1.0000,0.000,0.000,106290.4,0.0,0.0,0.0,Full,0,0,0,1
48,0.4814,4,1.000,100.000,1.0000,0.000,0.000,106706.1,0.0,0.0,0.0,Full,0,0,0,1
50,0.5014,4,1.000,100.000,1.0000,0.000,0.000,107608.9,0.0,0.0,0.0,Full,0,0,0,1
52,0.5214,4,1.000,100.000,1.0000,0.000,0.000,107234.4,0.0,0.0,0.0,Full,0,0,0,1
54,0.5414,4,1.000,100.000,1.0000,0.000,0.000,105927.4,0.0,0.0,0.0,Full,0,0,0,1
56,0.5614,4,1.000,100.000,1.0000,0.000,0.000,106723.9,0.0,0.0,0.0,Full,0,0,0,1
58,0.5814,4,1.000,100.000,1.0000,0.000,0.000,107609.8,0.0,0.0,0.0,Full,0,0,0,1
60,0.6014,4,1.000,100.000,1.0000,0.000,0.000,107593.1,0.0,0.0,0.0,Full,0,0,0,1
62,0.6214,4,1.000,100.000,1.0000,0.000,0.000,105855.0,0.0,0.0,0.0,Full,0,0,0,1
64,0.6414,4,1.000,100.000,1.0000,0.000,0.000,108432.3,0.0,0.0,0.0,Full,0,0,0,1
66,0.6614,4,1.000,100.000,1.0000,0.000,0.000,107188.9,0.0,0.0,0.0,Full,0,0,0,1
68,0.6814,4,1.000,100.000,1.0000,0.000,0.000,105883.6,0.0,0.0,0.0,Full,0,0,0,1
70,0.7014,4,1.000,100.000,1.0000,0.000,0.000,107614.6,0.0,0.0,0.0,Full,0,0,0,1
72,0.7214,4,1.000,100.000,1.0000,0.000,0.000,108472.9,0.0,0.0,0.0,Full,0,0,0,1
74,0.7414,4,1.000,100.000,1.0000,0.000,0.000,105942.8,0.0,0.0,0.0,Full,0,0,0,1
76,0.7614,4,1.000,100.000,1.0000,0.000,0.000,106314.9,0.0,0.0,0.0,Full,0,0,0,1
78,0.7814,4,1.000,100.000,1.0000,0.000,0.000,104203.1,0.0,0.0,0.0,Full,0,0,0,1
80,0.8014,4,1.000,100.000,1.0000,0.000,0.000,104507.0,0.0,0.0,0.0,Full,0,0,0,1
82,0.8214,4,1.000,100.000,1.0000,0.000,0.000,103602.6,0.0,0.0,0.0,Full,0,0,0,1
84,0.8414,4,1.000,100.000,1.0000,0.000,0.000,131628.4,0.0,0.0,0.0,Full,0,0,0,1
