sample,time_s,ringIndex,ringId,surfaceValid,surfaceType,couplingQuality,distance_m,normalX,normalY,normalZ,phaseAttractionN,phaseRepulsionN,phaseDampingN,phaseTotalN,thrusterAssistN,manualThrusterN,automaticThrusterN,requestWorldX,requestWorldY,requestWorldZ,requestLocalX,requestLocalY,requestLocalZ,appliedWorldX,appliedWorldY,appliedWorldZ,appliedLocalX,appliedLocalY,appliedLocalZ,targetGimbalWorldX,targetGimbalWorldY,targetGimbalWorldZ,targetGimbalLocalX,targetGimbalLocalY,targetGimbalLocalZ,gimbalWorldX,gimbalWorldY,gimbalWorldZ,gimbalLocalX,gimbalLocalY,gimbalLocalZ,gimbalDeflection_deg,gimbalTargetError_deg,directionalAgreement01,reserveOutputScale,gimbalAtLimit,thrusterForceLimited,usingReserve,reserveDrainRate,reserveRechargeRate,couplingDemand01
0,0.0014,0,PVR_FrontLeft,1,ResonantRace,1.000,2.798,-0.1140,0.9934,-0.0081,0.0,28206.6,191.7,28206.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.067
0,0.0014,1,PVR_FrontRight,1,ResonantRace,1.000,2.803,-0.1140,0.9935,-0.0081,0.0,25803.1,-12.3,25803.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.061
0,0.0014,2,PVR_RearLeft,1,ResonantRace,1.000,2.803,-0.1220,0.9925,0.0000,0.0,26296.1,156.7,26296.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
0,0.0014,3,PVR_RearRight,1,ResonantRace,1.000,2.798,-0.1221,0.9925,0.0000,0.0,27313.9,-45.2,27313.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.065
2,0.0214,0,PVR_FrontLeft,1,ResonantRace,1.000,2.798,-0.1220,0.9925,-0.0081,0.0,27601.9,242.9,27601.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.066
2,0.0214,1,PVR_FrontRight,1,ResonantRace,1.000,2.803,-0.1140,0.9935,0.0000,0.0,26586.7,145.9,26586.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
2,0.0214,2,PVR_RearLeft,1,ResonantRace,1.000,2.803,-0.1220,0.9925,0.0000,0.0,26127.9,12.9,26127.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.062
2,0.0214,3,PVR_RearRight,1,ResonantRace,1.000,2.798,-0.1221,0.9925,0.0000,0.0,26370.1,-322.7,26370.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
4,0.0414,0,PVR_FrontLeft,1,ResonantRace,1.000,2.798,-0.1220,0.9925,-0.0081,0.0,26455.7,-260.8,26455.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
4,0.0414,1,PVR_FrontRight,1,ResonantRace,1.000,2.803,-0.1140,0.9935,0.0000,0.0,26597.4,160.0,26597.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
