# class: Green (<=80% continuous), Yellow (<=80% high-load), Orange (<=90% emergency), Red (beyond / bottomed / contact), Purple (no geometry or mostly airborne/discontinuity). Recommended speeds are DIAGNOSTICS, not caps.
# limitation (Rev1.1): why a troubled section failed — Hardware-limited (load beyond emergency envelope), Transition-discontinuous (surface-normal rate spike), Probe-limited (surface losses during compression), Controller-limited (raw demand spiked past the command ceiling within hardware capacity), Geometry-incompatible (radius too tight for observed speed), Unknown. None = section ran clean.
section,class,limitation,maxRequiredLoadN,requiredCapacityAtMaxSpeedN,observedMaxSpeed_kmh,continuousCompatibleSpeed_kmh,highLoadCompatibleSpeed_kmh,emergencyCompatibleSpeed_kmh,minRadius_m,maxNormalRate_degs,maxVertK_1pm,evidence
0,Green,None,122304,122304,859,518,784,1533,460.0,0.0,0.00218,"airborne 32 samples"
1,Red,Geometry-incompatible,297069,297069,1254,352,615,1283,336.4,0.0,0.00297,"bottoming x2; contact 14.90s; airborne 48 samples"
2,Red,Geometry-incompatible,323811,323811,1317,410,709,1476,444.4,0.0,0.00016,"bottoming x2; contact 2.74s"
3,Purple,None,257379,257379,1213,323,489,956,178.9,0.0,0.00559,"airborne 36 samples"
5,Purple,Unknown,260293,260293,1258,1932,2931,5735,6444.8,0.0,0.00015,"bottoming x1; hardLanding x1; airborne 35 samples"
6,Purple,None,0,0,1276,-1,-1,-1,,0.0,,"airborne 1 samples"
7,Purple,None,0,0,1346,1953,2899,5598,6084.1,0.0,0.00008,"airborne 76 samples"
8,Purple,None,0,0,1440,1953,2899,5598,6084.5,0.0,0.00000,"airborne 133 samples"
9,Red,Geometry-incompatible,330553,330553,1476,531,873,1778,636.1,0.0,0.00002,"bottoming x2; contact 0.36s; hardLanding x1; airborne 49 samples"
10,Red,Geometry-incompatible,262694,262694,1179,296,475,957,182.9,0.0,0.00547,"bottoming x2; contact 1.00s; airborne 42 samples"
11,Purple,None,0,0,1049,455,675,1303,329.8,0.0,0.00304,"airborne 43 samples"
60,Green,None,107,107,24,593,880,1699,560.2,0.0,0.00033,"clean"
