section,samples,length_m,minRadius_m,maxHorizK_1pm,maxVertK_1pm,maxNormalRate_degs,maxReqCurvAccel_ms2,maxRequiredLoadN,maxRawDemandCmd,maxAppliedForceN,minContReserveN,minHighReserveN,minEmergReserveN,tCont_s,tPerf_s,tHigh_s,tExtreme_s,tEmerg_s,tSat_s,emergSat_s,contactTime_s,bottoming,probeLoss,hardLandings
0,681,754.2,460.0,0.00000,0.00218,0.0,0.0,122304,0.00,0,517696,1157696,4357697,13.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
1,1405,4232.0,336.4,0.81496,0.00297,0.0,0.0,297069,0.00,0,342931,982931,4182931,28.10,0.00,0.00,0.00,0.00,0.00,0.00,14.90,2,0,0
2,482,1456.9,444.4,0.00225,0.00016,0.0,0.0,323811,0.00,0,316189,956189,4156189,9.64,0.00,0.00,0.00,0.00,0.00,0.00,2.74,2,0,0
3,60,568.5,178.9,0.00009,0.00559,0.0,0.0,257379,0.00,0,382621,1022621,4222621,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
5,43,254.4,6444.8,0.00009,0.00015,0.0,0.0,260293,0.00,0,379707,1019707,4219707,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.02,1,0,1
6,1,,,,,0.0,0.0,0,0.00,0,640000,1280000,4480000,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
7,76,546.7,6084.1,0.00016,0.00008,0.0,0.0,0,0.00,0,640000,1280000,4480000,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
8,133,540.8,6084.5,0.00016,0.00000,0.0,0.0,0,0.00,0,640000,1280000,4480000,2.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
9,233,677.5,636.1,0.00157,0.00002,0.0,0.0,330553,0.00,0,309447,949447,4149447,4.66,0.00,0.00,0.00,0.00,0.00,0.00,0.36,2,0,1
10,216,538.8,182.9,0.00016,0.00547,0.0,0.0,262694,0.00,0,377306,1017306,4217306,4.32,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2,0,0
11,43,4189.6,329.8,0.00750,0.00304,0.0,0.0,0,0.00,0,640000,1280000,4480000,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
60,79,1077.5,560.2,0.00179,0.00033,0.0,0.0,107,0.00,0,639894,1279894,4479894,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
