section,samples,entryTime_s,entrySpeed_kmh,avgSpeed_kmh,maxSpeed_kmh,minClearance_m,maxHoverCmd,maxDownforceN,bottoming,numbSteering,collisions,markers
0,681,1.58,26.9,399.3,859.0,2.105,0.000,122304,0,0,0,0
1,1405,7.54,852.1,1086.6,1254.0,-0.365,0.000,297069,2,0,171,0
2,482,21.40,1256.1,1047.8,1316.6,-0.365,0.000,323811,2,1,8,0
3,60,26.56,639.4,837.9,1212.8,-0.365,0.000,257379,0,0,0,0
5,43,81.66,1258.4,1218.7,1258.4,-0.161,0.000,260293,1,0,1,0
6,1,83.54,1276.4,1276.4,1276.4,-1.000,0.000,0,0,0,0,0
7,76,83.56,1275.3,1288.1,1346.0,-1.000,0.000,0,0,0,0,0
8,133,38.68,1011.8,1201.8,1439.9,-1.000,0.000,0,0,0,0,0
9,233,39.94,958.4,1041.6,1476.3,-0.365,0.000,330553,2,0,6,0
10,216,42.78,919.1,919.8,1179.1,-0.365,0.000,262694,2,0,10,0
11,43,45.08,907.2,982.1,1048.8,-1.000,0.000,0,0,0,0,0
60,79,0.00,1.2,2.5,23.7,2.445,0.000,107,0,0,0,0
